time_cons,time,nt11,filename
4.663976822514087,0.0,25.0,b_c0600-018-000_d010-010-010_run_L004.csv
4.664001822513455,2.499999936844688e-05,25.0,b_c0600-018-000_d010-010-010_run_L004.csv
4.664026822512824,4.999999873689376e-05,25.00000095367432,b_c0600-018-000_d010-010-010_run_L004.csv
4.664051822517649,7.500000356230885e-05,25.00000095367432,b_c0600-018-000_d010-010-010_run_L004.csv
4.664058072514308,8.125000022118911e-05,25.00000095367432,b_c0600-018-000_d010-010-010_run_L004.csv
4.664064322510967,8.749999688006938e-05,25.00000095367432,b_c0600-018-000_d010-010-010_run_L004.csv
4.664065885015589,8.906250150175765e-05,25.00000095367432,b_c0600-018-000_d010-010-010_run_L004.csv
4.664068228761607,9.140624752035365e-05,25.000001271565758,b_c0600-018-000_d010-010-010_run_L004.csv
4.66406881470175,9.199218766298144e-05,25.000001271565758,b_c0600-018-000_d010-010-010_run_L004.csv
4.664069400641893,9.257812780560926e-05,25.000001271565758,b_c0600-018-000_d010-010-010_run_L004.csv
4.6640702795484685,9.345703438157216e-05,25.000001271565758,b_c0600-018-000_d010-010-010_run_L004.csv
4.6640715979083325,9.477539424551652e-05,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.6640729162609205,9.609374683350325e-05,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.664074234620784,9.74121066974476e-05,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.66407621216058,9.938964649336413e-05,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.664079178473912,0.0001023559598252,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.664083627932996,0.000106805418909,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.664088077399356,0.0001112548852688,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.66409252685844,0.0001157043443527,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.6640969763247995,0.0001201538107125,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.664101425791159,0.0001246032770723,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
4.664105875242967,0.0001290527288801,25.000001907348636,b_c0600-018-000_d010-010-010_run_L004.csv
